"","Total","F_FL1","F_FL2","F_FL3","F_FL4","F_FL5","F_FL6","F_FL7","F_FL8","F_FL9","F_FL10","F_FL11","F_FL12","F_FL13","Z","M","Mat.Fec","SelW1","SelW2","SelW3","SelW4","SelW5","SelW6","SelW7","SelW8","SelW9","SelW10","SelW11","SelW12","SelW13","N"
"31.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,9.32666150297259e-08
"31.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,8.52054238256687e-08
"31.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,7.99391511681513e-08
"32",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,6.90129537779286e-08
"32.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,6.38201369015009e-08
"32.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,5.83040545812824e-08
"32.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,5.47004688624667e-08
"33",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,4.72239306281308e-08
"33.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,4.36706089615043e-08
"33.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,3.98960844038789e-08
"33.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,3.74302359988756e-08
"34",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,3.23142178662078e-08
"34.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,2.98827639622906e-08
"34.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,2.72999461562733e-08
"34.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,2.56126244631305e-08
"35",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,2.21118543589152e-08
"35.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,2.04480680086951e-08
"35.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,1.8680706923283e-08
"35.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,1.75261126301489e-08
"36",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,1.51306185164139e-08
"36.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,1.39921289013244e-08
"36.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,1.27827655467153e-08
"36.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,1.19927040029354e-08
"37",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,1.03535240859138e-08
"37.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,9.57448259209753e-09
"37.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,8.74694387601766e-09
"37.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,8.20632346357351e-09
"38",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,7.08467144824984e-09
"38.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,6.5515917951343e-09
"38.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,5.98532664082719e-09
"38.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,5.61539288990319e-09
"39",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,4.84787296703491e-09
"39.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,4.48309917921817e-09
"39.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,4.09561733848759e-09
"39.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,3.84248042962764e-09
"40",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,3.31728471477864e-09
"40.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,3.06767864652878e-09
"40.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,2.8025339952043e-09
"40.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,2.629318400609e-09
"41",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,2.26993940512319e-09
"41.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,2.09913988117698e-09
"41.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,1.91770767265482e-09
"41.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,1.79918034155115e-09
"42",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,1.55326580199036e-09
"42.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,1.43639173083978e-09
"42.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,1.31224196532577e-09
"42.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,1.23113651837463e-09
"43",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,1.06286302012623e-09
"43.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,9.82888859825795e-10
"43.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,8.97936114099276e-10
"43.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,8.42437576640515e-10
"44",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,7.2729200508005e-10
"44.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,6.72567580297084e-10
"44.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,6.14436427357773e-10
"44.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,5.76460091909957e-10
"45",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,4.97668702962816e-10
"45.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,4.60222074494616e-10
"45.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,4.20444302591491e-10
"45.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,3.9445799520246e-10
"46",0.0157254569221902,0.00291684930412027,8.90300586421073e-06,0.00299456386301088,0.00147637699371067,1.44002895674328e-09,7.80731879034165e-10,1.9659856783917e-07,2.13103394587552e-07,0.00217217298790713,0.00574655988241157,0.000409294355600521,3.24606841664882e-07,0,0.0782254569221902,0.0625,0,299.137,312.319,209.658,312.332,301.129,312.319,356.316,310.799,312.324,324.183,312.209,312.209,312.517,3.40542912858544e-10
"46.25",0.0278971281799652,0.000481436565698089,1.75542507928836e-05,0,0,2.64121694741215e-08,3.3574603385532e-10,2.89371016656387e-08,1.81319878026818e-07,0.000583057573982144,0,8.50507462171123e-08,7.38169569977878e-08,0.0268146839168936,0.0903971281799651,0.0625,0,300.178,313.242,209.934,313.255,301.977,313.243,356.611,312.207,313.248,324.964,313.136,313.136,313.436,3.14919071416689e-10
"46.5",0.0012993568698306,5.23485604525975e-05,1.73157022739552e-05,0,0,8.65834217838513e-09,8.24864996403801e-11,1.00190179186438e-08,0,0.00122967134874602,0,0,2.49851143376581e-09,0,0.0637993568698306,0.0625,0,301.178,314.128,210.198,314.14,302.792,314.128,356.885,313.55,314.133,325.714,314.025,314.025,314.317,2.87700083704045e-10
"46.75",0.0844715119758354,0.0249487571464509,0.000108347969085739,0,0,9.02976982552691e-09,7.81821987221662e-11,1.064890556242e-06,0,0.0169472508907281,0.0424306008949713,3.53357125114553e-05,1.45363579602359e-07,0,0.146971511975835,0.0625,314.562,302.136,314.977,210.45,314.989,303.577,314.977,357.139,314.83,314.982,326.435,314.877,314.877,315.163,2.69918268693348e-10
